iter	RMSE
0	0.9452112221
1	0.9273264509
2	0.9097803244
3	0.8926219616
4	0.875784426
5	0.8592190246
6	0.843016221
7	0.827208897
8	0.8116292415
9	0.7963751326
10	0.781398416
11	0.7668052025
12	0.7524834572
13	0.7385217205
14	0.7248445191
15	0.7113356678
16	0.6980981144
17	0.6852713522
18	0.6725758988
19	0.6600591699
20	0.6478771337
21	0.6358852757
22	0.6241811545
23	0.6127154633
24	0.6014353847
25	0.5904244828
26	0.5795335299
27	0.5688983576
28	0.5584687349
29	0.5482582574
30	0.5382784612
31	0.5285548813
32	0.5189806938
33	0.5096448076
34	0.500434126
35	0.4914372767
36	0.4827127971
37	0.4740577913
38	0.4655640036
39	0.4573009206
40	0.4490961854
41	0.44107211
42	0.4333052274
43	0.4256023963
44	0.4180224
45	0.4106401211
46	0.4033870559
47	0.3962992373
48	0.3894088235
49	0.3826178398
50	0.3758901465
51	0.3694273238
52	0.3630925284
53	0.3568805857
54	0.3507386854
55	0.3447555831
56	0.3388346895
57	0.3330546337
58	0.3274102988
59	0.3218160954
60	0.3163496434
61	0.31103334
62	0.3058244628
63	0.3007857207
64	0.2957832761
65	0.2908382459
66	0.2860660102
67	0.2813813255
68	0.2767250491
69	0.2721454716
70	0.2676825603
71	0.2633610244
72	0.2590916772
73	0.254924428
74	0.2508495128
75	0.2468803252
76	0.2429617613
77	0.2391170923
78	0.2354066951
79	0.2317076458
80	0.2281246038
81	0.2245831963
82	0.2211266632
83	0.2177564369
84	0.2144626795
85	0.2112302802
86	0.2080631882
87	0.2049297596
88	0.2018657241
89	0.1989074058
90	0.1960201606
91	0.1931485827
92	0.1903547057
93	0.1876031132
94	0.1849136545
95	0.1823258876
96	0.1797625833
97	0.1772557037
98	0.1748067238
99	0.172395135
100	0.1700312861
101	0.1677092123
102	0.1655108713
103	0.1633317134
104	0.1611997274
105	0.1591281882
106	0.1570878517
107	0.1550720543
108	0.1531563173
109	0.1512497928
110	0.1493675797
111	0.147526251
112	0.1457180829
113	0.1439487362
114	0.1422109814
115	0.1405695832
116	0.1389414618
117	0.1373636354
118	0.1357795275
119	0.1342518176
120	0.1327645847
121	0.1312974338
122	0.129882358
123	0.1284740627
124	0.1270924921
125	0.1257498053
126	0.1244286736
127	0.1231371408
128	0.1219216561
129	0.1207085272
130	0.1195463938
131	0.11838126
132	0.1172542195
133	0.1161738088
134	0.1150928621
135	0.1140552178
136	0.1130291449
137	0.112006078
138	0.1110563817
139	0.11011304
140	0.1091844455
141	0.1082809801
142	0.1073933938
143	0.1065408938
144	0.1056925371
145	0.1049081781
146	0.1041204373
147	0.1033605182
148	0.1026018568
149	0.101837187
150	0.1011051486
151	0.1004140509
152	0.09971601332
153	0.09902747391
154	0.09838670685
155	0.09775573921
156	0.09712094073
157	0.09652116275
158	0.09594552618
159	0.09536706097
160	0.09479307147
161	0.09426869474
162	0.0937542678
163	0.09324576815
164	0.09275963631
165	0.09225398454
166	0.09175493781
167	0.09127734298
168	0.09080695254
169	0.09036414951
170	0.0899375448
171	0.08953286368
172	0.08911627742
173	0.08873997702
174	0.0883435177
175	0.08793244938
176	0.08757022419
177	0.08720542559
178	0.08684441024
179	0.08650105006
180	0.08614880626
181	0.08581889616
182	0.08550330736
183	0.08520322635
184	0.08488903833
185	0.08459987261
186	0.08430158881
187	0.08400520363
188	0.08373231766
189	0.08346742296
190	0.08320621317
191	0.0829489767
192	0.08268868115
193	0.0824422732
194	0.08221209832
195	0.08198558739
196	0.0817451956
197	0.081512583
198	0.08128543037
199	0.08107581158
200	0.08086748318
201	0.08066885136
202	0.08046925237
203	0.08027978528
204	0.08007866048
205	0.07989228631
206	0.07972101797
207	0.07953911433
208	0.0793708645
209	0.07920672751
210	0.07903617478
211	0.07886773635
212	0.07871435185
213	0.0785608173
214	0.07840860069
215	0.07826759864
216	0.07813505877
217	0.07799614409
218	0.0778546615
219	0.07772203585
220	0.0775767528
221	0.07744106866
222	0.07731105613
223	0.07719358412
224	0.07707607787
225	0.07696473884
226	0.07684561715
227	0.07673301476
228	0.07661996941
229	0.07651102234
230	0.07640632953
231	0.07630126114
232	0.07619916035
233	0.07609014512
234	0.07599856505
235	0.07590963873
236	0.07582474756
237	0.07573244842
238	0.07565140588
239	0.07557200485
240	0.07549773446
241	0.07540619619
242	0.07532899283
243	0.07524350452
244	0.07517070403
245	0.07509143438
246	0.0750198827
247	0.07494932208
248	0.07487184351
249	0.07480970454
250	0.07473590601
251	0.07465992136
252	0.07458972042
253	0.07451068112
254	0.07443827357
255	0.07437576137
256	0.0743247025
257	0.07426567031
258	0.07420472339
259	0.07415236205
260	0.07409083665
261	0.07403825131
262	0.07398855211
263	0.07392604686
264	0.07387852411
265	0.07382696992
266	0.07377335836
267	0.07372931732
268	0.07368619576
269	0.07363033208
270	0.07358988705
271	0.073538534
272	0.0734879542
273	0.0734444
274	0.07340143502
275	0.07335494304
276	0.07330514876
277	0.07326362495
278	0.07321689267
279	0.07316785621
280	0.07313049023
281	0.07308434913
282	0.07304201637
283	0.07300853186
284	0.07296696643
285	0.07293708022
286	0.07289677417
287	0.07286388185
288	0.07282338154
289	0.07278477977
290	0.07275626631
291	0.07272462786
292	0.07268663676
293	0.07265936492
294	0.07263329645
295	0.07259929915
296	0.07257177574
297	0.0725435866
298	0.07251508891
299	0.07249106326
300	0.07246289921
301	0.07243619603
302	0.07241086871
303	0.07237769423
304	0.07234887588
305	0.0723183865
306	0.07228791653
307	0.0722664591
308	0.07224228038
309	0.07221857931
310	0.07219004095
311	0.07216431826
312	0.07213175194
313	0.07210583411
314	0.07208792483
315	0.07206030842
316	0.07204002391
317	0.07202214082
318	0.07200506765
319	0.07198869211
320	0.07197237774
321	0.0719547855
322	0.07193644055
323	0.0719171252
324	0.07189289768
325	0.07186407232
326	0.07184481842
327	0.07182602757
328	0.07179963846
329	0.071777373
330	0.07175967916
331	0.0717445135
332	0.07172531733
333	0.07170834756
334	0.07169242348
335	0.07167960022
336	0.07166269066
337	0.07164115743
338	0.07162386654
339	0.07161170247
340	0.0715940318
341	0.0715805578
342	0.07156678517
343	0.07154742687
344	0.07152865936
345	0.07151094036
346	0.07149488003
347	0.07147561464
348	0.07145856192
349	0.07144348077
350	0.0714311671
351	0.07141771623
352	0.07139877335
353	0.07138960089
354	0.0713743129
355	0.07136198008
356	0.07134825974
357	0.07133943421
358	0.07132586777
359	0.07131539164
360	0.07130577212
361	0.07128756256
362	0.07127968233
363	0.07126326879
364	0.07125280331
365	0.07123788631
366	0.07122801155
367	0.0712191428
368	0.07119667103
369	0.07118036284
370	0.07116554087
371	0.07115084501
372	0.0711388069
373	0.07112817637
374	0.07111356009
375	0.07109865489
376	0.07109171731
377	0.0710793965
378	0.07106584971
379	0.07104303362
380	0.07102190985
381	0.07100915587
382	0.07099979373
383	0.07099172637
384	0.07097860995
385	0.07096369997
386	0.07094872244
387	0.07093276716
388	0.07092100813
389	0.0709082826
390	0.07088784662
391	0.07086949982
392	0.07086179476
393	0.07084768763
394	0.07083189429
395	0.07081848908
396	0.07080416717
397	0.07079051328
398	0.07078042825
399	0.07076824515
400	0.07075687108
401	0.07074489282
402	0.07073401395
403	0.07072222997
404	0.07071542444
405	0.07070752407
406	0.07070004215
407	0.07069079093
408	0.07068106682
409	0.07066632136
410	0.07066041296
411	0.07064946378
412	0.07064273834
413	0.07062560847
414	0.07061529113
415	0.07060901781
416	0.07060309471
417	0.07058913124
418	0.07057996422
419	0.07057492008
420	0.07056529241
421	0.07055346874
422	0.07054779792
423	0.07054171444
424	0.0705324482
425	0.07052382421
426	0.07051361256
427	0.07050536854
428	0.07049861674
429	0.0704881521
430	0.07048205208
