iter	Passed	Remaining
0	249	373916
1	316	236749
2	383	191467
3	451	168770
4	519	155324
5	577	143908
6	649	138445
7	722	134693
8	781	129387
9	834	124391
10	888	120244
11	941	116797
12	987	112922
13	1034	109764
14	1085	107491
15	1136	105384
16	1183	103246
17	1231	101404
18	1276	99511
19	1319	97646
20	1358	95673
21	1393	93636
22	1444	92747
23	1493	91833
24	1541	90973
25	1588	90082
26	1634	89165
27	1676	88150
28	1718	87182
29	1764	86446
30	1797	85198
31	1841	84488
32	1887	83909
33	1930	83252
34	1971	82511
35	2009	81701
36	2046	80904
37	2082	80137
38	2135	79982
39	2181	79628
40	2226	79247
41	2280	79161
42	2337	79186
43	2399	79401
44	2455	79408
45	2493	78811
46	2530	78230
47	2569	77735
48	2626	77767
49	2678	77675
50	2728	77526
51	2776	77301
52	2814	76847
53	2854	76434
54	2893	76013
55	2931	75594
56	2968	75152
57	3004	74690
58	3040	74270
59	3078	73876
60	3116	73525
61	3152	73126
62	3191	72788
63	3230	72474
64	3268	72164
65	3305	71823
66	3345	71551
67	3381	71216
68	3420	70934
69	3460	70688
70	3500	70443
71	3535	70116
72	3572	69826
73	3610	69567
74	3648	69313
75	3683	69021
76	3720	68763
77	3762	68585
78	3802	68391
79	3838	68140
80	3875	67892
81	3912	67653
82	3958	67576
83	3999	67420
84	4045	67347
85	4085	67179
86	4124	66986
87	4159	66742
88	4195	66515
89	4232	66313
90	4271	66143
91	4314	66023
92	4350	65823
93	4388	65644
94	4425	65455
95	4463	65277
96	4501	65110
97	4542	64981
98	4578	64787
99	4615	64620
100	4651	64425
101	4687	64244
102	4724	64073
103	4763	63938
104	4801	63792
105	4838	63626
106	4873	63449
107	4911	63308
108	4949	63161
109	4986	63010
110	5024	62869
111	5059	62700
112	5098	62574
113	5134	62418
114	5168	62252
115	5205	62108
116	5243	61979
117	5280	61842
118	5318	61725
119	5362	61672
120	5403	61580
121	5450	61559
122	5490	61467
123	5532	61391
124	5575	61327
125	5612	61207
126	5647	61054
127	5683	60924
128	5719	60790
129	5761	60714
130	5796	60577
131	5832	60447
132	5869	60326
133	5910	60256
134	5949	60154
135	5994	60116
136	6046	60159
137	6089	60105
138	6125	59973
139	6159	59839
140	6196	59719
141	6232	59601
142	6268	59487
143	6305	59373
144	6343	59276
145	6378	59156
146	6420	59093
147	6457	58988
148	6496	58907
149	6538	58848
150	6579	58778
151	6615	58668
152	6654	58586
153	6693	58503
154	6730	58404
155	6772	58350
156	6810	58257
157	6846	58149
158	6881	58036
159	6919	57951
160	6955	57844
161	6989	57725
162	7024	57617
163	7061	57527
164	7098	57430
165	7135	57337
166	7172	57250
167	7208	57152
168	7244	57059
169	7282	56973
170	7319	56888
171	7355	56791
172	7394	56721
173	7431	56633
174	7470	56559
175	7509	56495
176	7548	56418
177	7588	56358
178	7625	56277
179	7662	56192
180	7700	56112
181	7740	56052
182	7781	56004
183	7818	55917
184	7853	55821
185	7890	55745
186	7929	55675
187	7964	55584
188	8000	55497
189	8042	55449
190	8083	55400
191	8123	55344
192	8167	55311
193	8208	55259
194	8246	55187
195	8282	55104
196	8325	55063
197	8363	54996
198	8407	54962
199	8447	54907
200	8486	54846
201	8534	54837
202	8581	54829
203	8624	54789
204	8662	54719
205	8701	54661
206	8739	54591
207	8781	54548
208	8816	54461
209	8850	54364
210	8888	54302
211	8930	54256
212	8966	54176
213	9007	54126
214	9045	54062
215	9080	53980
216	9115	53896
217	9152	53821
218	9188	53749
219	9224	53671
220	9266	53630
221	9305	53569
222	9349	53539
223	9391	53500
224	9436	53472
225	9474	53406
226	9515	53363
227	9551	53289
228	9593	53243
229	9632	53187
230	9667	53107
231	9703	53035
232	9739	52962
233	9785	52941
234	9823	52879
235	9873	52882
236	9919	52860
237	9958	52807
238	9991	52716
239	10025	52634
240	10059	52549
241	10097	52491
242	10133	52420
243	10171	52355
244	10206	52280
245	10252	52262
246	10294	52222
247	10337	52185
248	10376	52130
249	10416	52080
250	10461	52058
251	10500	52002
252	10541	51959
253	10577	51890
254	10616	51832
255	10653	51771
256	10690	51703
257	10730	51654
258	10771	51613
259	10808	51547
260	10846	51488
261	10881	51417
262	10915	51339
263	10952	51278
264	10986	51200
265	11022	51132
266	11058	51068
267	11091	50989
268	11125	50913
269	11163	50857
270	11196	50778
271	11231	50708
272	11268	50645
273	11304	50580
274	11336	50500
275	11373	50441
276	11409	50373
277	11451	50336
278	11489	50283
279	11533	50252
280	11570	50192
281	11609	50141
282	11644	50076
283	11687	50041
284	11730	50008
285	11770	49962
286	11805	49897
287	11837	49816
288	11874	49756
289	11915	49715
290	11950	49649
291	11986	49587
292	12025	49538
293	12057	49461
294	12093	49400
295	12129	49335
296	12164	49274
297	12204	49226
298	12240	49166
299	12278	49114
300	12317	49065
301	12365	49050
302	12410	49029
303	12460	49020
304	12505	48997
305	12553	48983
306	12599	48960
307	12638	48913
308	12681	48880
309	12724	48845
310	12771	48827
311	12807	48767
312	12843	48707
313	12880	48649
314	12912	48576
315	12948	48516
316	12983	48453
317	13016	48381
318	13051	48317
319	13084	48249
320	13115	48173
321	13150	48110
322	13186	48050
323	13221	47990
324	13259	47939
325	13299	47896
326	13343	47864
327	13378	47804
328	13416	47752
329	13455	47704
330	13490	47643
331	13523	47576
332	13557	47512
333	13597	47468
334	13633	47410
335	13671	47363
336	13730	47384
337	13773	47352
338	13811	47302
339	13842	47228
340	13873	47154
341	13907	47089
342	13940	47023
343	13976	46967
344	14012	46910
345	14048	46855
346	14084	46798
347	14121	46745
348	14155	46685
349	14190	46625
350	14223	46561
351	14258	46503
352	14295	46451
353	14330	46391
354	14367	46339
355	14401	46279
356	14441	46236
357	14477	46183
358	14514	46131
359	14552	46082
360	14587	46026
361	14627	45982
362	14664	45932
363	14705	45894
364	14743	45845
365	14784	45807
366	14817	45744
367	14851	45684
368	14886	45627
369	14918	45562
370	14954	45508
371	14990	45455
372	15022	45388
373	15055	45326
374	15086	45260
375	15124	45212
376	15155	45145
377	15191	45092
378	15226	45037
379	15260	44978
380	15295	44924
381	15334	44879
382	15371	44830
383	15405	44773
384	15439	44713
385	15480	44675
386	15514	44619
387	15550	44568
388	15586	44514
389	15626	44475
390	15661	44422
391	15697	44369
392	15732	44315
393	15774	44281
394	15816	44245
395	15850	44188
396	15884	44131
397	15918	44076
398	15955	44027
399	15991	43976
400	16028	43927
401	16065	43880
402	16099	43824
403	16134	43770
404	16169	43716
405	16203	43661
406	16238	43607
407	16274	43557
408	16309	43506
409	16343	43449
410	16375	43390
411	16411	43339
412	16445	43282
413	16481	43235
414	16513	43172
415	16548	43120
416	16580	43061
417	16614	43006
418	16649	42955
419	16688	42912
420	16725	42865
421	16762	42820
422	16802	42780
423	16834	42721
424	16866	42661
425	16900	42607
426	16935	42557
427	16972	42510
428	17005	42454
429	17040	42402
430	17077	42357
431	17113	42309
432	17148	42257
433	17182	42205
434	17217	42153
435	17250	42097
436	17285	42046
437	17325	42009
438	17362	41962
439	17408	41938
440	17458	41924
441	17498	41886
442	17536	41841
443	17575	41800
444	17609	41747
445	17644	41697
446	17676	41640
447	17714	41596
448	17753	41556
449	17795	41523
450	17832	41476
451	17863	41418
452	17898	41367
453	17934	41319
454	17965	41262
455	18001	41214
456	18032	41155
457	18067	41106
458	18100	41052
459	18132	40995
460	18170	40952
461	18206	40905
462	18239	40852
463	18278	40811
464	18311	40757
465	18346	40709
466	18383	40663
467	18418	40614
468	18455	40570
469	18492	40526
470	18527	40476
471	18562	40429
472	18599	40383
473	18634	40336
474	18670	40289
475	18706	40242
476	18741	40193
477	18785	40165
478	18822	40120
479	18857	40072
480	18890	40019
481	18928	39976
482	18961	39924
483	18994	39873
484	19032	39831
485	19065	39778
486	19098	39726
